profile	sortino	irr	max_drawdown	total_return	deposit_count	beat_benchmark	passed
红利低波	-0.004302	+2.37	-49.16	+0.00	0	否	❌
红利	0.374112	+8.05	-49.51	+0.00	0	否	❌
上证红利	0.461258	+8.22	-19.96	+0.00	0	否	❌
